"Map","stateName","HotelRating","Latitude","Longitude"
"22.20173, -159.50476","Hawaii",3,22.20173,-159.50476
"22.205419, -159.497023","Hawaii",3,22.205419,-159.497023
"22.20547, -159.4965","Hawaii",3,22.20547,-159.4965
"22.20551, -159.49766","Hawaii",3,22.20551,-159.49766
"22.20566, -159.49719","Hawaii",3,22.20566,-159.49719
"22.20634, -159.49636","Hawaii",3,22.20634,-159.49636
"22.208, -159.4971","Hawaii",3,22.208,-159.4971
"22.21188984811306, -159.47948031127453","Hawaii",2,22.21188984811306,-159.47948031127453
"22.2125, -159.4953","Hawaii",3,22.2125,-159.4953
"22.214841, -159.47086","Hawaii",3,22.214841,-159.47086
"22.21538, -159.485705","Hawaii",3,22.21538,-159.485705
"22.21612, -159.47845","Hawaii",3,22.21612,-159.47845
"22.217532, -159.483507","Hawaii",4,22.217532,-159.483507
"22.217592, -159.485465","Hawaii",3,22.217592,-159.485465
"22.21775, -159.48343","Hawaii",3,22.21775,-159.48343
"22.217842, -159.48341","Hawaii",3,22.217842,-159.48341
"22.21807, -159.48243","Hawaii",3,22.21807,-159.48243
"22.218439, -159.470896","Hawaii",3,22.218439,-159.470896
"22.218537, -159.49046","Hawaii",3,22.218537,-159.49046
"22.21871, -159.49027","Hawaii",3,22.21871,-159.49027
"22.219096, -159.494809","Hawaii",3,22.219096,-159.494809
"22.21968, -159.46821","Hawaii",3,22.21968,-159.46821
"22.21968, -159.54584","Hawaii",3,22.21968,-159.54584
"22.21994, -159.4934","Hawaii",3,22.21994,-159.4934
"22.220133, -159.49293","Hawaii",3,22.220133,-159.49293
"22.220249, -159.471511","Hawaii",3,22.220249,-159.471511
"22.220563, -159.492371","Hawaii",4,22.220563,-159.492371
"22.220594, -159.4703","Hawaii",4,22.220594,-159.4703
"22.220833, -159.545501","Hawaii",3,22.220833,-159.545501
"22.221227, -159.496706","Hawaii",5,22.221227,-159.496706
"22.221391, -159.4771","Hawaii",3,22.221391,-159.4771
"22.221791, -159.478293","Hawaii",3,22.221791,-159.478293
"22.221815, -159.469547","Hawaii",3,22.221815,-159.469547
"22.22189, -159.46852","Hawaii",4,22.22189,-159.46852
"22.222036, -159.494651","Hawaii",3,22.222036,-159.494651
"22.222326, -159.495368","Hawaii",3.3333333333333335,22.222326,-159.495368
"22.222328, -159.48163","Hawaii",3,22.222328,-159.48163
"22.22241, -159.49388","Hawaii",4,22.22241,-159.49388
"22.222601, -159.493961","Hawaii",2,22.222601,-159.493961
"22.222608, -159.494877","Hawaii",3,22.222608,-159.494877
"22.223124, -159.478925","Hawaii",3,22.223124,-159.478925
"22.22329, -159.48026","Hawaii",3,22.22329,-159.48026
"22.22349, -159.55209","Hawaii",3.5,22.22349,-159.55209
"22.223611, -159.485278","Hawaii",3,22.223611,-159.485278
"22.223613, -159.489011","Hawaii",3,22.223613,-159.489011
"22.223664, -159.490255","Hawaii",3,22.223664,-159.490255
"22.22367, -159.4903","Hawaii",2,22.22367,-159.4903
"22.22373, -159.48911","Hawaii",3,22.22373,-159.48911
"22.224892, -159.490483","Hawaii",3,22.224892,-159.490483
"22.224926, -159.489081","Hawaii",3,22.224926,-159.489081
"22.225014, -159.490731","Hawaii",3,22.225014,-159.490731
"22.225136, -159.490263","Hawaii",3,22.225136,-159.490263
"22.225319, -159.489213","Hawaii",3,22.225319,-159.489213
"22.225759, -159.485782","Hawaii",3,22.225759,-159.485782
"22.225816, -159.481486","Hawaii",4,22.225816,-159.481486
"22.22595, -159.47366","Hawaii",3,22.22595,-159.47366
"22.22605, -159.4824","Hawaii",3,22.22605,-159.4824
"22.226055, -159.485324","Hawaii",3,22.226055,-159.485324
